Wu (exclude self weight) ,concrete grade,steel grade,dead load,live load,Wu (include self weight),b,h,economic section,self weight ,span length,span type ,span ratio,span ratio
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,6,0,0,0.666666667
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,6,0,0,0.666666667
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,6,0,0,0.666666667
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,6,0,0,0.666666667
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,6,0,0,0.666666667
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,6,0,0,0.666666667
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,6,0,0,0.666666667
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,6,0,0,0.666666667
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,4,1,1.5,1.6
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,4,1,1.5,1.6
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,4,1,1.5,1.6
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,4,1,1.5,1.6
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,4,1,1.5,1.6
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,4,1,1.5,1.6
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,4,1,1.5,1.6
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,4,1,1.5,1.6
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,4,1,1.5,1.6
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,4,1,1.5,1.6
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,6.4,0,0.625,0
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,6.4,0,0.625,0
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,6.4,0,0.625,0
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,6.4,0,0.625,0
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,6.4,0,0.625,0
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,6.4,0,0.625,0
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,6.4,0,0.625,0
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,6.4,0,0.625,0
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,6.4,0,0.625,0
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,6.4,0,0.625,0
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,4.5,0,0,1.111111111
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,4.5,0,0,1.111111111
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,4.5,0,0,1.111111111
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,4.5,0,0,1.111111111
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,4.5,0,0,1.111111111
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,4.5,0,0,1.111111111
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,4.5,0,0,1.111111111
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,4.5,0,0,1.111111111
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,4.5,0,0,1.111111111
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,4.5,0,0,1.111111111
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,5,1,0.9,1
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,5,1,0.9,1
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,5,1,0.9,1
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,5,1,0.9,1
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,5,1,0.9,1
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,5,1,0.9,1
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,5,1,0.9,1
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,5,1,0.9,1
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,5,1,0.9,1
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,5,1,0.9,1
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,5,0,1,0
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,5,0,1,0
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,5,0,1,0
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,5,0,1,0
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,5,0,1,0
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,5,0,1,0
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,5,0,1,0
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,5,0,1,0
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,5,0,1,0
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,5,0,1,0
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,4.8,0,0,1.25
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,4.8,0,0,1.25
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,4.8,0,0,1.25
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,4.8,0,0,1.25
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,4.8,0,0,1.25
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,4.8,0,0,1.25
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,4.8,0,0,1.25
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,4.8,0,0,1.25
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,4.8,0,0,1.25
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,4.8,0,0,1.25
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,6,1,0.8,0.9
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,6,1,0.8,0.9
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,6,1,0.8,0.9
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,6,1,0.8,0.9
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,6,1,0.8,0.9
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,6,1,0.8,0.9
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,6,1,0.8,0.9
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,6,1,0.8,0.9
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,6,1,0.8,0.9
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,6,1,0.8,0.9
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,5.4,0,1.111111111,0
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,5.4,0,1.111111111,0
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,5.4,0,1.111111111,0
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,5.4,0,1.111111111,0
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,5.4,0,1.111111111,0
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,5.4,0,1.111111111,0
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,5.4,0,1.111111111,0
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,5.4,0,1.111111111,0
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,5.4,0,1.111111111,0
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,5.4,0,1.111111111,0
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,6,0,0,1
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,6,0,0,1
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,6,0,0,1
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,6,0,0,1
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,6,0,0,1
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,6,0,0,1
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,6,0,0,1
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,6,0,0,1
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,6,0,0,1
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,6,0,0,1
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,6,1,1,1
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,6,1,1,1
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,6,1,1,1
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,6,1,1,1
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,6,1,1,1
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,6,1,1,1
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,6,1,1,1
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,6,1,1,1
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,6,1,1,1
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,6,1,1,1
40,3000,60000,20,10,43.024,0.3,0.35,1,2.52,6,0,1,0
40,3000,60000,20,10,44.032,0.35,0.4,0,3.36,6,0,1,0
40,3000,60000,20,10,45.184,0.4,0.45,0,4.32,6,0,1,0
40,3000,60000,20,10,46.48,0.45,0.5,0,5.4,6,0,1,0
40,3000,60000,20,10,47.92,0.5,0.55,0,6.6,6,0,1,0
40,3000,60000,20,10,49.504,0.55,0.6,0,7.92,6,0,1,0
40,3000,60000,20,10,51.232,0.6,0.65,0,9.36,6,0,1,0
40,3000,60000,20,10,53.104,0.65,0.7,0,10.92,6,0,1,0
40,3000,60000,20,10,55.12,0.7,0.75,0,12.6,6,0,1,0
40,3000,60000,20,10,57.28,0.75,0.8,0,14.4,6,0,1,0
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,3.2,0,0,1.25
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,3.2,0,0,1.25
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,3.2,0,0,1.25
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,3.2,0,0,1.25
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,3.2,0,0,1.25
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,3.2,0,0,1.25
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,3.2,0,0,1.25
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,3.2,0,0,1.25
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,3.2,0,0,1.25
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,3.2,0,0,1.25
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,4,1,0.8,0.9
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,4,1,0.8,0.9
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,4,1,0.8,0.9
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,4,1,0.8,0.9
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,4,1,0.8,0.9
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,4,1,0.8,0.9
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,4,1,0.8,0.9
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,4,1,0.8,0.9
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,4,1,0.8,0.9
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,4,1,0.8,0.9
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,3.6,0,1.11,0
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,3.6,0,1.11,0
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,3.6,0,1.11,0
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,3.6,0,1.11,0
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,3.6,0,1.11,0
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,3.6,0,1.11,0
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,3.6,0,1.11,0
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,3.6,0,1.11,0
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,3.6,0,1.11,0
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,3.6,0,1.11,0
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,4,0,0,1
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,4,0,0,1
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,4,0,0,1
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,4,0,0,1
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,4,0,0,1
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,4,0,0,1
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,4,0,0,1
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,4,0,0,1
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,4,0,0,1
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,4,0,0,1
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,4,1,1,1.2
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,4,1,1,1.2
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,4,1,1,1.2
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,4,1,1,1.2
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,4,1,1,1.2
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,4,1,1,1.2
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,4,1,1,1.2
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,4,1,1,1.2
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,4,1,1,1.2
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,4,1,1,1.2
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,4.8,0,0.833333333,0
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,4.8,0,0.833333333,0
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,4.8,0,0.833333333,0
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,4.8,0,0.833333333,0
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,4.8,0,0.833333333,0
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,4.8,0,0.833333333,0
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,4.8,0,0.833333333,0
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,4.8,0,0.833333333,0
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,4.8,0,0.833333333,0
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,4.8,0,0.833333333,0
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,6,0,0,0.666666667
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,6,0,0,0.666666667
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,6,0,0,0.666666667
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,6,0,0,0.666666667
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,6,0,0,0.666666667
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,6,0,0,0.666666667
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,6,0,0,0.666666667
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,6,0,0,0.666666667
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,6,0,0,0.666666667
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,6,0,0,0.666666667
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,4,1,1.5,1.6
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,4,1,1.5,1.6
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,4,1,1.5,1.6
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,4,1,1.5,1.6
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,4,1,1.5,1.6
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,4,1,1.5,1.6
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,4,1,1.5,1.6
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,4,1,1.5,1.6
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,4,1,1.5,1.6
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,4,1,1.5,1.6
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,6.4,0,0.625,0
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,6.4,0,0.625,0
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,6.4,0,0.625,0
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,6.4,0,0.625,0
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,6.4,0,0.625,0
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,6.4,0,0.625,0
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,6.4,0,0.625,0
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,6.4,0,0.625,0
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,6.4,0,0.625,0
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,6.4,0,0.625,0
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,4.5,0,0,1.111111111
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,4.5,0,0,1.111111111
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,4.5,0,0,1.111111111
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,4.5,0,0,1.111111111
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,4.5,0,0,1.111111111
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,4.5,0,0,1.111111111
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,4.5,0,0,1.111111111
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,4.5,0,0,1.111111111
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,4.5,0,0,1.111111111
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,4.5,0,0,1.111111111
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,5,1,0.9,1
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,5,1,0.9,1
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,5,1,0.9,1
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,5,1,0.9,1
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,5,1,0.9,1
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,5,1,0.9,1
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,5,1,0.9,1
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,5,1,0.9,1
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,5,1,0.9,1
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,5,1,0.9,1
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,5,0,1,0
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,5,0,1,0
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,5,0,1,0
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,5,0,1,0
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,5,0,1,0
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,5,0,1,0
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,5,0,1,0
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,5,0,1,0
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,5,0,1,0
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,5,0,1,0
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,4.8,0,0,1.25
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,4.8,0,0,1.25
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,4.8,0,0,1.25
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,4.8,0,0,1.25
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,4.8,0,0,1.25
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,4.8,0,0,1.25
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,4.8,0,0,1.25
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,4.8,0,0,1.25
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,4.8,0,0,1.25
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,4.8,0,0,1.25
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,6,1,0.8,0.9
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,6,1,0.8,0.9
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,6,1,0.8,0.9
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,6,1,0.8,0.9
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,6,1,0.8,0.9
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,6,1,0.8,0.9
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,6,1,0.8,0.9
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,6,1,0.8,0.9
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,6,1,0.8,0.9
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,6,1,0.8,0.9
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,5.4,0,1.111111111,0
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,5.4,0,1.111111111,0
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,5.4,0,1.111111111,0
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,5.4,0,1.111111111,0
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,5.4,0,1.111111111,0
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,5.4,0,1.111111111,0
68,3000,60000,30,20,79.232,0.6,0.65,0,9.36,5.4,0,1.111111111,0
68,3000,60000,30,20,81.104,0.65,0.7,0,10.92,5.4,0,1.111111111,0
68,3000,60000,30,20,83.12,0.7,0.75,0,12.6,5.4,0,1.111111111,0
68,3000,60000,30,20,85.28,0.75,0.8,0,14.4,5.4,0,1.111111111,0
68,3000,60000,30,20,71.024,0.3,0.35,1,2.52,6,0,0,1
68,3000,60000,30,20,72.032,0.35,0.4,0,3.36,6,0,0,1
68,3000,60000,30,20,73.184,0.4,0.45,0,4.32,6,0,0,1
68,3000,60000,30,20,74.48,0.45,0.5,0,5.4,6,0,0,1
68,3000,60000,30,20,75.92,0.5,0.55,0,6.6,6,0,0,1
68,3000,60000,30,20,77.504,0.55,0.6,0,7.92,6,0,0,1
